NumLines,SortedInsertion,SortedSearch,SortedDeletion,ShuffledInsertion,ShuffledSearch,ShuffledDeletion,ReversedInsertion,ReversedSearch,ReversedDeletion
50,0.034167,0.011375,0.018833,0.017,0.0105,0.016958,0.017125,0.011375,0.016708
100,0.050625,0.024583,0.035666,0.04225,0.029209,0.03875,0.032334,0.012708,0.023916
200,0.186542,0.050334,0.075125,0.032041,0.027125,0.047541,0.019583,0.02075,0.030333
300,0.401209,0.071375,0.105583,0.095417,0.037083,0.075666,0.033291,0.036125,0.05675
400,0.360458,0.102625,0.105125,0.046,0.037667,0.043167,0.044083,0.04,0.039458
500,1.532334,0.095709,0.163875,0.061417,0.074083,0.182166,0.068,0.047708,0.055
569,1.554292,0.08425,0.155,0.0645,0.080625,0.195125,0.074833,0.065375,0.066708
